  i   p     |   d   m   t  ii    
------------------------------------
  0  11     |   0   0   0   0    
  1  13     |   2   2   1   1    
  2  17     |   4   6   1   2    
  3  19     |   2   8   2   3    
  4  23     |   4  12   2   4    
  5  29     |   6  18   1   5    
  6  31     |   2  20   2   6    
  7  37     |   6  26   2   7    
  8  41     |   4  30   2   8    
  9  43     |   2  32   2   9    
634 2777     |   4  36   2 634    
635 2783     |   6  42   2 635    
636 2789     |   6  48   2 636    
637 2791     |   2  50   2 637    
638 2797     |   6  56   2 638    
639 2801     |   4  60   2 639    
640 2803     |   2  62   2 640    
641 2809     |   6  68   2 641    
642 2813     |   4  72   2 642    
643 2819     |   6  78   2 643    
644 2827     |   8  86   1 644    
645 2831     |   4  90   1 645    
646 2833     |   2  92   1 646    
647 2837     |   4  96   2 647    
648 2839     |   2  98   2 648    
649 2843     |   4 102   2 649    
650 2851     |   8   5   1 650    
651 2857     |   6  11   1 651    
652 2861     |   4  15   1 652    
653 2867     |   6  21   1 653    
654 2869     |   2  23   1 654    
655 2873     |   4  27   1 655    
656 2879     |   6  33   1 656    
657 2881     |   2  35   1 657    
658 2887     |   6  41   1 658    
659 2893     |   6  47   1 659    
660 2897     |   4  51   1 660    
661 2899     |   2  53   1 661    
662 2903     |   4  57   1 662    
663 2909     |   6  63   1 663    
664 2911     |   2  65   2 664    
665 2917     |   6  71   1 665    
666 2921     |   4  75   1 666    
667 2923     |   2  77   2 667    
668 2927     |   4  81   2 668    
669 2929     |   2  83   3 669    
670 2939     |  10  93   1 670    
671 2941     |   2  95   2 671    
- - - - - - - - - - - - - - - - - - - 
672 2951     |  10   0   0 672    
673 2953     |   2   2   1 673    
674 2957     |   4   6   1 674    
675 2959     |   2   8   2 675    
676 2963     |   4  12   2 676    
677 2969     |   6  18   1 677    
678 2971     |   2  20   2 678    
679 2977     |   6  26   2 679    
680 2981     |   4  30   2 680    
681 2983     |   2  32   2 681    
682 2987     |   4  36   2 682    
683 2993     |   6  42   2 683    
684 2999     |   6  48   2 684    
685 3001     |   2  50   2 685    
686 3007     |   6  56   2 686    
687 3011     |   4  60   2 687    
688 3013     |   2  62   2 688    
689 3019     |   6  68   2 689    
690 3023     |   4  72   2 690    
691 3029     |   6  78   2 691    
692 3037     |   8  86   1 692    
693 3041     |   4  90   1 693    
694 3043     |   2  92   1 694    
695 3047     |   4  96   2 695    
696 3049     |   2  98   2 696    
697 3053     |   4 102   2 697    
698 3061     |   8   5   1 698    
699 3067     |   6  11   1 699    
700 3071     |   4  15   1 700    
701 3077     |   6  21   1 701    
702 3079     |   2  23   1 702    
703 3083     |   4  27   1 703    
704 3089     |   6  33   1 704    
705 3091     |   2  35   1 705    
706 3097     |   6  41   1 706    
707 3103     |   6  47   1 707    
708 3107     |   4  51   1 708    
709 3109     |   2  53   1 709    
710 3113     |   4  57   1 710    
711 3119     |   6  63   1 711    
712 3121     |   2  65   2 712    
713 3127     |   6  71   1 713    
714 3131     |   4  75   1 714    
715 3133     |   2  77   2 715    
716 3137     |   4  81   2 716    
717 3139     |   2  83   3 717    
718 3149     |  10  93   1 718    
719 3151     |   2  95   2 719    
- - - - - - - - - - - - - - - - - - - 
720 3161     |  10   0   0 720    
721 3163     |   2   2   1 721    
722 3167     |   4   6   1 722    
723 3169     |   2   8   2 723    
724 3173     |   4  12   2 724    
725 3179     |   6  18   1 725    
726 3181     |   2  20   2 726    
727 3187     |   6  26   2 727    
728 3191     |   4  30   2 728    
729 3193     |   2  32   2 729    
730 3197     |   4  36   2 730    
731 3203     |   6  42   2 731    
732 3209     |   6  48   2 732    
733 3211     |   2  50   2 733    
734 3217     |   6  56   2 734    
735 3221     |   4  60   2 735    
736 3223     |   2  62   2 736    
737 3229     |   6  68   2 737    
738 3233     |   4  72   2 738    
739 3239     |   6  78   2 739    
740 3247     |   8  86   1 740    
741 3251     |   4  90   1 741    
742 3253     |   2  92   1 742    
743 3257     |   4  96   2 743    
744 3259     |   2  98   2 744    
745 3263     |   4 102   2 745    
746 3271     |   8   5   1 746    
747 3277     |   6  11   1 747    
748 3281     |   4  15   1 748    
749 3287     |   6  21   1 749    
750 3289     |   2  23   1 750    
751 3293     |   4  27   1 751    
752 3299     |   6  33   1 752    
753 3301     |   2  35   1 753    
754 3307     |   6  41   1 754    
755 3313     |   6  47   1 755    
756 3317     |   4  51   1 756    
757 3319     |   2  53   1 757    
758 3323     |   4  57   1 758    
759 3329     |   6  63   1 759    
760 3331     |   2  65   2 760    
761 3337     |   6  71   1 761    
762 3341     |   4  75   1 762    
763 3343     |   2  77   2 763    
764 3347     |   4  81   2 764    
765 3349     |   2  83   3 765    
766 3359     |  10  93   1 766    
767 3361     |   2  95   2 767    
- - - - - - - - - - - - - - - - - - - 
768 3371     |  10   0   0 768    
769 3373     |   2   2   1 769    
770 3377     |   4   6   1 770    
771 3379     |   2   8   2 771    
772 3383     |   4  12   2 772    
773 3389     |   6  18   1 773    
774 3391     |   2  20   2 774    
775 3397     |   6  26   2 775    
776 3401     |   4  30   2 776    
777 3403     |   2  32   2 777    
778 3407     |   4  36   2 778    
779 3413     |   6  42   2 779    
780 3419     |   6  48   2 780    
781 3421     |   2  50   2 781    
782 3427     |   6  56   2 782    
783 3431     |   4  60   2 783    
784 3433     |   2  62   2 784    
785 3439     |   6  68   2 785    
786 3443     |   4  72   2 786    
787 3449     |   6  78   2 787    
788 3457     |   8  86   1 788    
789 3461     |   4  90   1 789    
790 3463     |   2  92   1 790    
791 3467     |   4  96   2 791    
792 3469     |   2  98   2 792    
793 3473     |   4 102   2 793    
794 3481     |   8   5   1 794    
795 3487     |   6  11   1 795    
796 3491     |   4  15   1 796    
797 3497     |   6  21   1 797    
798 3499     |   2  23   1 798    
799 3503     |   4  27   1 799    
800 3509     |   6  33   1 800    
801 3511     |   2  35   1 801    
802 3517     |   6  41   1 802    
803 3523     |   6  47   1 803    
804 3527     |   4  51   1 804    
805 3529     |   2  53   1 805    
806 3533     |   4  57   1 806    
807 3539     |   6  63   1 807    
808 3541     |   2  65   2 808    
809 3547     |   6  71   1 809    
810 3551     |   4  75   1 810    
811 3553     |   2  77   2 811    
812 3557     |   4  81   2 812    
813 3559     |   2  83   3 813    
